no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
84,C. Dung sai kích thước,Measurement,Intermediate,"Khi đo lỗ bằng dụng cụ phù hợp, nên kiểm tra nhiều hướng khi cần để phát hiện gì?",Độ oval/taper hoặc biến dạng,Revision,Vật liệu,Tên người thiết kế,A,Đo nhiều vị trí/hướng giúp phát hiện sai lệch hình học.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
85,C. Dung sai kích thước,Process capability,Intermediate,Cp/Cpk dùng chủ yếu để đánh giá gì?,Khả năng quá trình so với giới hạn kỹ thuật,Độ nhám trực tiếp,Độ cứng,Mã bản vẽ,A,Cp/Cpk là chỉ số năng lực quá trình.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
86,C. Dung sai kích thước,Process capability,Intermediate,Cpk khác Cp ở điểm quan trọng nào?,Cpk xét cả độ lệch tâm của quá trình,Cpk bỏ qua trung bình,Cp luôn nhỏ hơn,Cp chỉ dùng cho ren,A,Cpk phản ánh cả độ phân tán và vị trí trung bình so với giới hạn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
87,C. Dung sai kích thước,Tolerance,Intermediate,Một dung sai ±0.01 trên kích thước 100 có total tolerance bao nhiêu?,0.01,0.02,0.10,1.00,B,100.01 - 99.99 = 0.02.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
88,C. Dung sai kích thước,Tolerance,Intermediate,"Nếu yêu cầu chức năng không cần dung sai ±0.01, lựa chọn tốt hơn thường là gì?",Dùng dung sai phù hợp khả năng sản xuất và chức năng,Luôn chọn ±0.001,Không ghi dung sai,Xóa kích thước,A,Dung sai nên vừa đủ cho chức năng để tránh chi phí không cần thiết.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
89,C. Dung sai kích thước,Tolerance,Intermediate,"Khi một kích thước có giới hạn min/max rõ ràng, giá trị đúng bằng giới hạn có được chấp nhận không?","Thông thường có, nếu tiêu chuẩn không quy định khác",Luôn NG,Luôn phải nhỏ hơn min,Luôn phải lớn hơn max,A,Giá trị tại limit nằm trong vùng giới hạn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
90,C. Dung sai kích thước,Tolerance,Intermediate,Nominal size là gì?,Kích thước danh nghĩa dùng làm cơ sở gọi tên/kích thước,Kích thước đo nhỏ nhất,Kích thước đo lớn nhất,Độ nhám,A,Nominal là kích thước danh nghĩa.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
91,C. Dung sai kích thước,Tolerance,Intermediate,Actual size là gì?,Kích thước thực tế được xác định bằng đo/đánh giá,Kích thước danh nghĩa,Dung sai tổng,Basic dimension,A,Actual size là giá trị thực tế của đặc tính.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
92,C. Dung sai kích thước,Tolerance,Intermediate,Upper deviation là gì?,Sai lệch của giới hạn trên so với kích thước cơ sở,Sai lệch giới hạn dưới,Độ nhám,Độ tròn,A,Upper deviation = upper limit - basic/nominal theo hệ quy định.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
93,C. Dung sai kích thước,Tolerance,Intermediate,Lower deviation là gì?,Sai lệch của giới hạn dưới so với kích thước cơ sở,Độ cứng,Độ phẳng,Độ nhám,A,Lower deviation = lower limit - basic/nominal.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
94,C. Dung sai kích thước,Tolerance,Intermediate,"Khi thay đổi tolerance của một kích thước chức năng, điều gì cần xem xét?","Stack-up, chức năng, khả năng gia công và đo kiểm",Chỉ màu bề mặt,Chỉ tên file,Chỉ người thiết kế,A,Dung sai là một phần của thiết kế chức năng và sản xuất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
95,C. Dung sai kích thước,Tolerance,Intermediate,"Nếu 2 lỗ dùng để lắp pin, chỉ kiểm tra đường kính có thể chưa đủ vì sao?",Vị trí tương đối của lỗ cũng ảnh hưởng lắp ráp,Đường kính không quan trọng,Pin không cần lỗ,Chỉ cần đo Ra,A,Vị trí lỗ là đặc tính chức năng quan trọng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
96,D. GD&T,Fundamentals,Intermediate,GD&T là viết tắt của gì?,Geometric Dimensioning and Tolerancing,General Drawing Data Table,Geometric Data Transfer,Global Design Test,A,GD&T = Geometric Dimensioning and Tolerancing.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
97,D. GD&T,Fundamentals,Intermediate,Mục đích chính của GD&T là gì?,Kiểm soát hình học và chức năng bằng hệ thống dung sai tiêu chuẩn,Chỉ làm bản vẽ đẹp,Thay vật liệu,Thay CNC,A,GD&T mô tả chính xác yêu cầu hình học và quan hệ giữa các đặc tính.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
98,D. GD&T,Form,Intermediate,Flatness kiểm soát gì?,Độ phẳng của một bề mặt,Vị trí lỗ,Góc giữa hai mặt,Độ đồng tâm,A,Flatness là dung sai form của một bề mặt.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
99,D. GD&T,Form,Intermediate,Flatness có cần datum không?,Không,Luôn cần 1 datum,Luôn cần 2 datum,Luôn cần 3 datum,A,Flatness là form control nên không tham chiếu datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
100,D. GD&T,Form,Intermediate,Straightness của một đường/axis kiểm soát gì?,Độ thẳng của đường/đường tâm theo cách áp dụng,Độ nhám,Vật liệu,Revision,A,Straightness kiểm soát độ thẳng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
101,D. GD&T,Form,Intermediate,Cylindricity kiểm soát gì?,Hình dạng toàn bộ bề mặt trụ,Chỉ vị trí trục,Chỉ góc,Chỉ độ nhám,A,Cylindricity là form control cho bề mặt trụ.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
102,D. GD&T,Form,Intermediate,Circularity kiểm soát gì?,Độ tròn của từng tiết diện tròn,Vị trí lỗ,Độ song song,Độ vuông góc,A,Circularity đánh giá từng profile tròn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
103,D. GD&T,Orientation,Intermediate,Perpendicularity kiểm soát gì?,Quan hệ vuông góc với datum khi datum được tham chiếu,Độ phẳng tuyệt đối,Đường kính,Độ nhám,A,Perpendicularity là orientation control.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
104,D. GD&T,Orientation,Intermediate,Parallelism kiểm soát gì?,Quan hệ song song với datum khi datum được tham chiếu,Vị trí lỗ,Độ cứng,Bước ren,A,Parallelism là orientation control.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
105,D. GD&T,Orientation,Intermediate,Angularity kiểm soát gì?,Hướng của feature theo góc lý thuyết xác định,Đường kính,Độ nhám,Độ tròn,A,Angularity kiểm soát orientation theo góc cơ bản.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
106,D. GD&T,Location,Intermediate,Position thường dùng để kiểm soát gì?,Vị trí của feature of size,Độ nhám,Độ cứng,Màu,A,Position rất phổ biến để kiểm soát vị trí lỗ/trục.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
107,D. GD&T,Location,Intermediate,Position tolerance zone cho một lỗ thường có dạng gì khi áp dụng diametrical symbol?,Vùng trụ,Vùng hình cầu,Vùng phẳng,Vùng côn,A,Position thường tạo cylindrical tolerance zone cho axis/center plane tùy đặc tính.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
108,D. GD&T,Profile,Intermediate,Profile of a surface kiểm soát gì?,Toàn bộ biên dạng bề mặt trong vùng dung sai,Chỉ đường kính,Chỉ datum,Chỉ độ nhám,A,Profile of surface kiểm soát hình dạng bề mặt.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
109,D. GD&T,Profile,Intermediate,Profile of a line kiểm soát gì?,Biên dạng của từng tiết diện đường,Độ cứng,Vị trí datum,Mã revision,A,Profile of a line áp dụng cho line element/tiết diện.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
110,D. GD&T,Runout,Intermediate,Circular runout kiểm soát gì?,Độ biến thiên tại từng tiết diện khi quay quanh datum axis,Toàn bộ bề mặt đồng thời,Độ phẳng,Độ nhám,A,Circular runout kiểm soát từng tiết diện trong quá trình quay.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
111,D. GD&T,Runout,Intermediate,Total runout khác circular runout ở điểm nào?,Kiểm soát toàn bộ bề mặt khi quay,Chỉ kiểm tra một tiết diện,Không cần datum,Chỉ kiểm tra màu,A,Total runout đánh giá toàn bộ bề mặt liên quan.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
112,D. GD&T,Datum,Intermediate,Datum feature là gì?,Đặc tính vật lý được chọn làm cơ sở thiết lập datum,Một con số dung sai,Revision,Vật liệu,A,Datum feature là feature vật lý được dùng để thiết lập datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
113,D. GD&T,Datum,Intermediate,Datum là gì?,Tham chiếu hình học lý thuyết được thiết lập từ datum feature,Một dụng cụ đo,Một loại vật liệu,Một revision,A,Datum là tham chiếu lý thuyết.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
114,D. GD&T,Datum,Intermediate,Datum reference frame dùng để làm gì?,Thiết lập hệ tham chiếu để định hướng/định vị chi tiết,Tính độ nhám,Đổi đơn vị,Chọn dao,A,DRF là hệ tham chiếu cho các yêu cầu GD&T.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
115,D. GD&T,Datum sequence,Intermediate,Primary datum có vai trò gì?,Thiết lập ràng buộc đầu tiên và loại bỏ nhiều bậc tự do nhất theo simulator,Chỉ xác định màu,Chỉ đo đường kính,Không có vai trò,A,Primary datum thiết lập nền tảng đầu tiên của DRF.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
116,D. GD&T,Datum sequence,Intermediate,Secondary datum được dùng để làm gì?,Bổ sung ràng buộc sau primary,Thay vật liệu,Xác định revision,Chỉ đo Ra,A,Secondary tiếp tục định hướng/định vị sau primary.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
117,D. GD&T,Datum sequence,Intermediate,Tertiary datum thường hoàn thiện điều gì?,Các bậc tự do còn lại cần thiết,Màu sắc,Độ cứng,Tốc độ cắt,A,Tertiary thường hoàn thiện việc định vị.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
118,D. GD&T,Degrees freedom,Intermediate,Một vật thể cứng trong không gian có bao nhiêu bậc tự do?,3,4,6,9,C,3 tịnh tiến + 3 quay = 6.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
119,D. GD&T,3-2-1,Intermediate,Nguyên lý 3-2-1 thường dùng để minh họa điều gì?,Thiết lập/định vị chi tiết bằng các điểm tiếp xúc theo datum,Tính độ nhám,Tính tốc độ cắt,Chọn vật liệu,A,3-2-1 minh họa cách khống chế 6 bậc tự do.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
120,D. GD&T,MMC,Intermediate,MMC của một lỗ thường là kích thước nào?,Kích thước nhỏ nhất của lỗ,Kích thước lớn nhất của lỗ,Kích thước danh nghĩa luôn,Kích thước trung bình,A,"Với lỗ, vật liệu nhiều nhất tương ứng với đường kính nhỏ nhất.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
121,D. GD&T,MMC,Intermediate,MMC của một trục thường là kích thước nào?,Kích thước lớn nhất của trục,Kích thước nhỏ nhất,Kích thước trung bình,Không xác định,A,"Với trục, MMC tương ứng với đường kính lớn nhất.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
122,D. GD&T,LMC,Intermediate,LMC của một lỗ thường là gì?,Kích thước lớn nhất của lỗ,Kích thước nhỏ nhất,Nominal,Basic dimension,A,LMC của lỗ là kích thước lớn nhất vì vật liệu ít nhất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
123,D. GD&T,LMC,Intermediate,LMC của một trục thường là gì?,Kích thước nhỏ nhất của trục,Kích thước lớn nhất,Nominal,Ra,A,LMC của trục là đường kính nhỏ nhất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
124,D. GD&T,RFS,Intermediate,RFS nghĩa là gì?,Regardless of Feature Size,Reference Feature System,Radius Feature Size,Runout Feature Standard,A,RFS = Regardless of Feature Size.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
125,D. GD&T,MMC modifier,Intermediate,Ký hiệu M sau tolerance nghĩa gì?,Dung sai áp dụng tại MMC và cho phép bonus tolerance khi feature rời MMC theo điều kiện phù hợp,Luôn dùng LMC,Không có tolerance,Độ nhám,A,MMC modifier tạo khả năng bonus tolerance.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
126,D. GD&T,Bonus,Advanced,"Một lỗ có MMC Ø10.00 và actual Ø10.06, position tolerance Ø0.10(M). Bonus tolerance là?",0,0.03,0.06,0.10,C,Bonus = actual size - MMC size = 10.06-10.00=0.06.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
127,D. GD&T,Bonus,Advanced,"Với ví dụ lỗ Ø10.00 MMC, actual Ø10.06 và position Ø0.10(M), total position tolerance tại actual size là?",0.10,0.16,0.06,0.04,B,Total = stated 0.10 + bonus 0.06 = 0.16.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
128,D. GD&T,Bonus,Advanced,"Nếu lỗ đạt đúng MMC trong ví dụ trên, bonus tolerance là?",0,0.06,0.10,0.16,A,Tại MMC không có bonus tolerance.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
129,D. GD&T,Bonus,Advanced,"Bonus tolerance của một trục Ø10 MMC, actual Ø9.96 là?",0.04,0,0.06,0.10,A,"Với trục, rời MMC theo hướng giảm đường kính: 10.00-9.96=0.04.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
130,D. GD&T,Virtual condition,Advanced,"Với feature ngoài có MMC và dung sai hình học tại MMC, virtual condition thường liên quan đến gì?",Boundary cố định bảo vệ chức năng lắp ráp,Độ nhám,Màu,Revision,A,Virtual condition là boundary chức năng quan trọng trong kiểm tra lắp.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
131,D. GD&T,Virtual condition,Advanced,"Với lỗ Ø10.00 MMC và position Ø0.10(M), virtual condition theo cách tính cơ bản là?",Ø9.90,Ø10.10,Ø10.00,Ø9.80,A,"Đối với internal feature, VC = MMC size - geometric tolerance = 9.90.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
132,D. GD&T,Position,Intermediate,Position Ø0.20 ở RFS cho một lỗ có ý nghĩa cơ bản nào?,Axis của lỗ phải nằm trong vùng trụ Ø0.20 quanh vị trí lý thuyết,Đường kính lỗ phải 0.20,Độ phẳng 0.20,Độ nhám 0.20,A,Position tolerance tạo vùng trụ quanh true position.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
133,D. GD&T,Position,Intermediate,True position là gì?,Vị trí lý thuyết chính xác của feature,Vị trí đo được,Dung sai,Datum feature,A,True position là vị trí lý thuyết được xác định bởi basic dimensions.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
134,D. GD&T,Position,Intermediate,Tại sao position thường tốt hơn ±X/±Y để kiểm soát lỗ?,Kiểm soát vị trí hình học theo vùng trụ và quan hệ với datum,Luôn dễ đo hơn,Không cần datum,Không cần kích thước,A,Position thể hiện vùng dung sai vị trí phù hợp chức năng hơn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
135,D. GD&T,Position,Intermediate,"Khi hai trục lỗ cần đồng thời nằm đúng vị trí tương đối, datum system giúp gì?",Thiết lập hệ tham chiếu nhất quán,Tăng độ nhám,Đổi vật liệu,Tăng tốc CNC,A,Datum system tạo cơ sở chung cho đánh giá.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
136,D. GD&T,Orientation,Intermediate,Perpendicularity của axis lỗ thường kiểm soát gì?,Độ nghiêng của axis lỗ so với datum,Đường kính lỗ,Độ sâu lỗ,Độ nhám,A,Nó kiểm soát orientation của axis.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
137,D. GD&T,Orientation,Intermediate,Parallelism của một bề mặt có datum A kiểm soát gì?,Bề mặt nằm trong vùng song song với datum A,Vị trí tuyệt đối của lỗ,Đường kính,Độ cứng,A,Parallelism kiểm soát orientation so với datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
138,D. GD&T,Form,Intermediate,Một mặt phẳng có flatness 0.05 cần datum không?,Không,Có A bắt buộc,Có B bắt buộc,Có C bắt buộc,A,Flatness không tham chiếu datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
139,D. GD&T,Form,Intermediate,Cylindricity khác circularity ở điểm nào?,"Cylindricity kiểm soát toàn bộ bề mặt trụ, circularity từng tiết diện",Hai cái giống hệt,Circularity cần 3 datum,Cylindricity chỉ kiểm tra đường kính,A,Cylindricity là kiểm soát 3D của bề mặt trụ.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
140,D. GD&T,Form,Intermediate,Form controls thường gồm nhóm nào?,"Straightness, flatness, circularity, cylindricity","Position, datum, revision, Ra","Parallelism, angle, material","Runout, position, title block",A,Đây là bốn form controls cơ bản.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
141,D. GD&T,Orientation,Intermediate,Orientation controls cơ bản gồm gì?,"Parallelism, perpendicularity, angularity","Position, circularity, flatness","Runout, profile, size","Datum, MMC, LMC",A,Đây là ba orientation controls.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
142,D. GD&T,Location,Intermediate,Location controls truyền thống gồm gì?,"Position, concentricity, symmetry","Flatness, straightness, circularity","Parallelism, perpendicularity","Ra, Rz, hardness",A,Đây là nhóm location controls trong hệ GD&T truyền thống.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
143,D. GD&T,Profile,Intermediate,Profile control có thể áp dụng cho gì?,Line hoặc surface,Chỉ lỗ,Chỉ ren,Chỉ datum,A,Có profile of a line và profile of a surface.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
144,D. GD&T,Runout,Intermediate,Runout thường cần datum axis không?,"Có, theo cách áp dụng thông thường",Không bao giờ,Chỉ với flatness,Chỉ với Ra,A,Runout đánh giá khi quay quanh một datum axis.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
145,D. GD&T,Feature of size,Intermediate,Feature of size là gì?,"Feature có kích thước liên quan đến đối diện/giới hạn vật liệu như lỗ, trục",Mọi bề mặt phẳng,Revision,Datum symbol,A,Lỗ và trục là ví dụ điển hình.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
146,D. GD&T,Datum feature,Intermediate,Một mặt phẳng được chỉ là datum feature có phải chính nó là datum lý thuyết không?,Không; nó là feature vật lý dùng để thiết lập datum,Luôn giống hệt,Là revision,Là MMC,A,Datum feature là thực thể vật lý; datum là tham chiếu lý thuyết.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
147,D. GD&T,Tolerance zone,Intermediate,Tolerance zone là gì?,Vùng không gian mà feature phải nằm trong đó để đáp ứng yêu cầu,Giới hạn vật liệu,Mã revision,Vùng gia công,A,Tolerance zone định nghĩa phạm vi chấp nhận hình học.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
148,D. GD&T,Position,Intermediate,Nếu position tolerance không có MMC modifier thì mặc định thường là?,RFS,MMC,LMC,Tự động bonus,A,"Nếu tiêu chuẩn áp dụng không chỉ khác, mặc định thường là RFS.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
149,D. GD&T,MMC,Intermediate,MMC có lợi ích chức năng gì khi dùng với position của lỗ?,Cho phép bonus tolerance khi lỗ lớn hơn MMC,Luôn làm tolerance nhỏ hơn,Loại bỏ datum,Đổi lỗ thành trục,A,Lỗ rời MMC có thêm position tolerance trong giới hạn chức năng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
150,D. GD&T,Inspection,Intermediate,CMM có thể kiểm tra GD&T không?,"Có, nếu lập trình/thiết lập datum và đánh giá đúng tiêu chuẩn",Không bao giờ,Chỉ đo màu,Chỉ đo nhiệt độ,A,CMM là công cụ phổ biến cho kiểm tra hình học.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
151,D. GD&T,Inspection,Intermediate,Functional gauge theo VC thường dùng để kiểm tra gì?,Khả năng lắp/chức năng theo boundary,Độ nhám trực tiếp,Vật liệu,Revision,A,Gauge mô phỏng điều kiện chức năng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
152,D. GD&T,Inspection,Intermediate,"Khi kiểm tra position của lỗ, chỉ đo khoảng cách tâm đến tâm có luôn đủ không?","Không; cần xét datum, true position và yêu cầu GD&T",Luôn đủ,Chỉ cần đo Ra,Chỉ cần nhìn,A,Đánh giá phải theo hệ datum và vùng tolerance.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
153,D. GD&T,Datum shift,Advanced,Datum feature có MMC modifier có thể cho phép gì?,Datum shift trong điều kiện áp dụng,Bonus cho flatness,Đổi vật liệu,Đổi revision,A,Datum mobility/shift có thể phát sinh theo yêu cầu MMB.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
154,D. GD&T,Datum shift,Advanced,Datum shift chủ yếu liên quan đến điều gì?,Khả năng di chuyển của datum feature trong simulator khi có material boundary modifier,Độ nhám,Độ cứng,Tốc độ dao,A,MMB/LMB có thể tạo datum mobility.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
155,D. GD&T,Drawing,Intermediate,Feature control frame dùng để thể hiện gì?,Yêu cầu GD&T,Vật liệu,Revision,Tên người thiết kế,A,"FCF chứa geometric characteristic, tolerance và datum references.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
156,D. GD&T,FCF,Intermediate,"Trong FCF, ô đầu tiên thường chứa gì?",Ký hiệu characteristic hình học,Datum,Revision,Đơn vị,A,"Ví dụ position, flatness, perpendicularity.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
157,D. GD&T,FCF,Intermediate,"Trong FCF, ký hiệu Ø trước giá trị tolerance thường chỉ gì?",Tolerance zone dạng đường kính,Đường kính feature bắt buộc,Độ nhám,Datum,A,Ø áp dụng cho dạng vùng dung sai diametrical.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
158,D. GD&T,Datum symbol,Intermediate,Tam giác datum trên drawing gắn với gì?,Datum feature được chọn,Revision,Kích thước reference,Ra,A,Datum symbol xác định feature dùng làm datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
159,D. GD&T,Basic dimensions,Intermediate,Basic dimensions thường dùng cùng với gì để xác định vị trí lý thuyết?,GD&T như position/profile,Ra,Material callout,Revision,A,Basic dimensions và geometric tolerance thường đi cùng nhau.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
160,D. GD&T,Profile,Intermediate,Profile có thể đồng thời kiểm soát location và orientation không?,"Có, tùy cách áp dụng datum references",Không bao giờ,Chỉ kiểm soát Ra,Chỉ kiểm soát vật liệu,A,"Profile có thể kiểm soát hình dạng và, khi tham chiếu datum, cả location/orientation.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
161,D. GD&T,Surface profile,Intermediate,"Nếu profile of surface không tham chiếu datum, nó chủ yếu kiểm soát gì?",Form của bề mặt so với biên dạng lý thuyết,Vị trí tuyệt đối theo máy,Độ nhám,Revision,A,"Không có datum, nó không thiết lập orientation/location theo datum.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
162,D. GD&T,Concentricity,Intermediate,Concentricity trong GD&T truyền thống có mục đích gì?,Kiểm soát trung tâm median của feature so với datum axis,Kiểm soát toàn bộ bề mặt trụ,Kiểm soát độ phẳng,Kiểm soát Ra,A,Concentricity là location control dựa trên median points.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
163,D. GD&T,Symmetry,Intermediate,Symmetry truyền thống kiểm soát gì?,Median plane/median points đối xứng quanh datum plane/axis,Độ nhám,Đường kính,Độ phẳng tuyệt đối,A,Symmetry là location control theo hệ truyền thống.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
164,D. GD&T,Circular runout,Intermediate,Circular runout có thể kiểm soát đồng thời một số sai lệch nào tại tiết diện?,Radial variation liên quan đến form và orientation của tiết diện khi quay,Chỉ vật liệu,Chỉ Ra,Chỉ màu,A,Runout có thể phản ánh tổng hợp các sai lệch hình học theo cách đánh giá.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
165,D. GD&T,Total runout,Intermediate,Total runout có thể ảnh hưởng đến đặc tính nào của toàn bề mặt?,"Độ thẳng, độ tròn, độ song song/độ đồng trục theo điều kiện liên quan",Chỉ độ nhám,Chỉ độ cứng,Chỉ kích thước nominal,A,Total runout là yêu cầu tổng hợp cho bề mặt khi quay.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
166,D. GD&T,Design intent,Advanced,Tại sao nên chọn datum theo chức năng lắp ráp?,Để hệ GD&T phản ánh cách chi tiết thực sự định vị/lắp trong sản phẩm,Để bản vẽ dài hơn,Để tăng dung sai,Để dễ đổi revision,A,Datum nên phản ánh chức năng và quá trình định vị.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
167,D. GD&T,DFM,Intermediate,GD&T quá chặt có thể gây vấn đề gì?,Tăng chi phí và độ khó gia công/đo,Luôn giảm chi phí,Không ảnh hưởng,Tăng vật liệu,A,Dung sai hình học chặt có thể yêu cầu quy trình và đo kiểm cao.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
168,D. GD&T,Inspection,Intermediate,Một bề mặt flatness 0.02 nhưng không có datum: có thể kiểm tra bằng cách nào?,Đặt trên phương pháp đo phù hợp và đánh giá vùng hai mặt phẳng song song 0.02,So với datum A bắt buộc,Chỉ đo kích thước dài,Đo Ra,A,Flatness được đánh giá độc lập với datum.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
