no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
92,C. Dung sai kích thước,Tolerance,Intermediate,Upper deviation là gì?,Sai lệch của giới hạn trên so với kích thước cơ sở,Sai lệch giới hạn dưới,Độ nhám,Độ tròn,A,Upper deviation = upper limit - basic/nominal theo hệ quy định.,nominal = kích thước danh nghĩa; limit = giới hạn kích thước
93,C. Dung sai kích thước,Tolerance,Intermediate,Lower deviation là gì?,Sai lệch của giới hạn dưới so với kích thước cơ sở,Độ cứng,Độ phẳng,Độ nhám,A,Lower deviation = lower limit - basic/nominal.,nominal = kích thước danh nghĩa; limit = giới hạn kích thước
94,C. Dung sai kích thước,Tolerance,Intermediate,"Khi thay đổi tolerance của một kích thước chức năng, điều gì cần xem xét?","Stack-up, chức năng, khả năng gia công và đo kiểm",Kích thước danh nghĩa,Giới hạn trên của kích thước,Chỉ người thiết kế,A,Dung sai là một phần của thiết kế chức năng và sản xuất.,tolerance = dung sai kích thước
95,C. Dung sai kích thước,Tolerance,Intermediate,"Nếu 2 lỗ dùng để lắp pin, chỉ kiểm tra đường kính có thể chưa đủ vì sao?",Vị trí tương đối của lỗ cũng ảnh hưởng lắp ráp,Đường kính không quan trọng,Pin không cần lỗ,Chỉ cần đo Ra,A,Vị trí lỗ là đặc tính chức năng quan trọng.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
96,D. GD&T,Fundamentals,Intermediate,GD&T là viết tắt của gì?,Geometric Dimensioning and Tolerancing,General Drawing Data Table,Geometric Data Transfer,Global Design Test,A,GD&T = Geometric Dimensioning and Tolerancing.,GD&T = dung sai hình học
97,D. GD&T,Fundamentals,Intermediate,Mục đích chính của GD&T là gì?,Kiểm soát hình học và chức năng bằng hệ thống dung sai tiêu chuẩn,Chỉ làm bản vẽ đẹp,Kiểm soát vị trí tương đối của feature,Thay CNC,A,GD&T mô tả chính xác yêu cầu hình học và quan hệ giữa các đặc tính.,GD&T = dung sai hình học
98,D. GD&T,Form,Intermediate,Flatness kiểm soát gì?,Độ phẳng của một bề mặt,Vị trí lỗ,Góc giữa hai mặt,Độ đồng tâm,A,Flatness là dung sai form của một bề mặt.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
99,D. GD&T,Form,Intermediate,Flatness có cần datum không?,Không,Kiểm soát vị trí tương đối của feature,Kiểm soát hướng của feature so với datum,Kiểm soát hình dạng của feature,A,Flatness là form control nên không tham chiếu datum.,datum = chuẩn
100,D. GD&T,Form,Intermediate,Straightness của một đường/axis kiểm soát gì?,Độ thẳng của đường/đường tâm theo cách áp dụng,Độ nhám,Vật liệu,Revision,A,Straightness kiểm soát độ thẳng.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
101,D. GD&T,Form,Intermediate,Cylindricity kiểm soát gì?,Hình dạng toàn bộ bề mặt trụ,Chỉ vị trí trục,Chỉ góc,Kiểm soát vị trí tương đối của feature,A,Cylindricity là form control cho bề mặt trụ.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
102,D. GD&T,Form,Intermediate,Circularity kiểm soát gì?,Độ tròn của từng tiết diện tròn,Vị trí lỗ,Độ song song,Độ vuông góc,A,Circularity đánh giá từng profile tròn.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
103,D. GD&T,Orientation,Intermediate,Perpendicularity kiểm soát gì?,Quan hệ vuông góc với datum khi datum được tham chiếu,Độ phẳng tuyệt đối,Đường kính,Độ nhám,A,Perpendicularity là orientation control.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
104,D. GD&T,Orientation,Intermediate,Parallelism kiểm soát gì?,Quan hệ song song với datum khi datum được tham chiếu,Vị trí lỗ,Độ cứng,Bước ren,A,Parallelism là orientation control.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
105,D. GD&T,Orientation,Intermediate,Angularity kiểm soát gì?,Hướng của feature theo góc lý thuyết xác định,Đường kính,Độ nhám,Độ tròn,A,Angularity kiểm soát orientation theo góc cơ bản.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
106,D. GD&T,Location,Intermediate,Position thường dùng để kiểm soát gì?,Vị trí của feature of size,Độ nhám,Độ cứng,Màu,A,Position rất phổ biến để kiểm soát vị trí lỗ/trục.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
107,D. GD&T,Location,Intermediate,Position tolerance zone cho một lỗ thường có dạng gì khi áp dụng diametrical symbol?,Vùng trụ,Vùng hình cầu,Vùng phẳng,Vùng côn,A,Position thường tạo cylindrical tolerance zone cho axis/center plane tùy đặc tính.,tolerance zone = vùng dung sai
108,D. GD&T,Profile,Intermediate,Profile of a surface kiểm soát gì?,Toàn bộ biên dạng bề mặt trong vùng dung sai,Chỉ đường kính,Chỉ datum,Kiểm soát vị trí tương đối của feature,A,Profile of surface kiểm soát hình dạng bề mặt.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
109,D. GD&T,Profile,Intermediate,Profile of a line kiểm soát gì?,Biên dạng của từng tiết diện đường,Độ cứng,Vị trí datum,Mã revision,A,Profile of a line áp dụng cho line element/tiết diện.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
110,D. GD&T,Runout,Intermediate,Circular runout kiểm soát gì?,Độ biến thiên tại từng tiết diện khi quay quanh datum axis,Toàn bộ bề mặt đồng thời,Độ phẳng,Độ nhám,A,Circular runout kiểm soát từng tiết diện trong quá trình quay.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
111,D. GD&T,Runout,Intermediate,Total runout khác circular runout ở điểm nào?,Kiểm soát toàn bộ bề mặt khi quay,Chỉ kiểm tra một tiết diện,Không cần datum,Chỉ kiểm tra màu,A,Total runout đánh giá toàn bộ bề mặt liên quan.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
112,D. GD&T,Datum,Intermediate,Datum feature là gì?,Đặc tính vật lý được chọn làm cơ sở thiết lập datum,Một con số dung sai,Revision,Vật liệu,A,Datum feature là feature vật lý được dùng để thiết lập datum.,datum = chuẩn; feature = đặc tính hình học
113,D. GD&T,Datum,Intermediate,Datum là gì?,Tham chiếu hình học lý thuyết được thiết lập từ datum feature,Một dụng cụ đo,Một loại vật liệu,Một revision,A,Datum là tham chiếu lý thuyết.,datum = chuẩn
114,D. GD&T,Datum,Intermediate,Datum reference frame dùng để làm gì?,Thiết lập hệ tham chiếu để định hướng/định vị chi tiết,Tính độ nhám,Đổi đơn vị,Chọn dao,A,DRF là hệ tham chiếu cho các yêu cầu GD&T.,GD&T = dung sai hình học; datum = chuẩn
115,D. GD&T,Datum sequence,Intermediate,Primary datum có vai trò gì?,Thiết lập ràng buộc đầu tiên và loại bỏ nhiều bậc tự do nhất theo simulator,Chỉ xác định màu,Chỉ đo đường kính,Không có vai trò,A,Primary datum thiết lập nền tảng đầu tiên của DRF.,datum = chuẩn
116,D. GD&T,Datum sequence,Intermediate,Secondary datum được dùng để làm gì?,Bổ sung ràng buộc sau primary,Kiểm soát vị trí tương đối của feature,Xác định revision,Chỉ đo Ra,A,Secondary tiếp tục định hướng/định vị sau primary.,datum = chuẩn
117,D. GD&T,Datum sequence,Intermediate,Tertiary datum thường hoàn thiện điều gì?,Các bậc tự do còn lại cần thiết,Màu sắc,Độ cứng,Tốc độ cắt,A,Tertiary thường hoàn thiện việc định vị.,datum = chuẩn
118,D. GD&T,Degrees freedom,Intermediate,Một vật thể cứng trong không gian có bao nhiêu bậc tự do?,3,4,6,9,C,3 tịnh tiến + 3 quay = 6.,technical term = thuật ngữ kỹ thuật
119,D. GD&T,3-2-1,Intermediate,Nguyên lý 3-2-1 thường dùng để minh họa điều gì?,Thiết lập/định vị chi tiết bằng các điểm tiếp xúc theo datum,Tính độ nhám,Tính tốc độ cắt,Chọn vật liệu,A,3-2-1 minh họa cách khống chế 6 bậc tự do.,technical term = thuật ngữ kỹ thuật
120,D. GD&T,MMC,Intermediate,MMC của một lỗ thường là kích thước nào?,Kích thước nhỏ nhất của lỗ,Kích thước lớn nhất của lỗ,Kích thước danh nghĩa luôn,Kích thước trung bình,A,"Với lỗ, vật liệu nhiều nhất tương ứng với đường kính nhỏ nhất.",MMC = điều kiện vật liệu lớn nhất
121,D. GD&T,MMC,Intermediate,MMC của một trục thường là kích thước nào?,Kích thước lớn nhất của trục,Kích thước nhỏ nhất,Kích thước trung bình,Không xác định,A,"Với trục, MMC tương ứng với đường kính lớn nhất.",MMC = điều kiện vật liệu lớn nhất
122,D. GD&T,LMC,Intermediate,LMC của một lỗ thường là gì?,Kích thước lớn nhất của lỗ,Kích thước nhỏ nhất,Nominal,Basic dimension,A,LMC của lỗ là kích thước lớn nhất vì vật liệu ít nhất.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
123,D. GD&T,LMC,Intermediate,LMC của một trục thường là gì?,Kích thước nhỏ nhất của trục,Kích thước lớn nhất,Nominal,Ra,A,LMC của trục là đường kính nhỏ nhất.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
124,D. GD&T,RFS,Intermediate,RFS nghĩa là gì?,Regardless of Feature Size,Reference Feature System,Radius Feature Size,Runout Feature Standard,A,RFS = Regardless of Feature Size.,technical term = thuật ngữ kỹ thuật
125,D. GD&T,MMC modifier,Intermediate,Ký hiệu M sau tolerance nghĩa gì?,Dung sai áp dụng tại MMC và cho phép bonus tolerance khi feature rời MMC theo điều kiện phù hợp,Kiểm soát vị trí tương đối của feature,Không có tolerance,Độ nhám,A,MMC modifier tạo khả năng bonus tolerance.,MMC = điều kiện vật liệu lớn nhất
126,D. GD&T,Bonus,Advanced,"Một lỗ có MMC Ø10.00 và actual Ø10.06, position tolerance Ø0.10(M). Bonus tolerance là?",0,0.03,0.06,0.10,C,Bonus = actual size - MMC size = 10.06-10.00=0.06.,MMC = điều kiện vật liệu lớn nhất
127,D. GD&T,Bonus,Advanced,"Với ví dụ lỗ Ø10.00 MMC, actual Ø10.06 và position Ø0.10(M), total position tolerance tại actual size là?",0.10,0.16,0.06,0.04,B,Total = stated 0.10 + bonus 0.06 = 0.16.,MMC = điều kiện vật liệu lớn nhất
128,D. GD&T,Bonus,Advanced,"Nếu lỗ đạt đúng MMC trong ví dụ trên, bonus tolerance là?",0,0.06,0.10,0.16,A,Tại MMC không có bonus tolerance.,MMC = điều kiện vật liệu lớn nhất
129,D. GD&T,Bonus,Advanced,"Bonus tolerance của một trục Ø10 MMC, actual Ø9.96 là?",0.04,0,0.06,0.10,A,"Với trục, rời MMC theo hướng giảm đường kính: 10.00-9.96=0.04.",MMC = điều kiện vật liệu lớn nhất
130,D. GD&T,Virtual condition,Advanced,"Với feature ngoài có MMC và dung sai hình học tại MMC, virtual condition thường liên quan đến gì?",Boundary cố định bảo vệ chức năng lắp ráp,Độ nhám,Màu,Revision,A,Virtual condition là boundary chức năng quan trọng trong kiểm tra lắp.,feature = đặc tính hình học; MMC = điều kiện vật liệu lớn nhất
131,D. GD&T,Virtual condition,Advanced,"Với lỗ Ø10.00 MMC và position Ø0.10(M), virtual condition theo cách tính cơ bản là?",Ø9.90,Ø10.10,Ø10.00,Ø9.80,A,"Đối với internal feature, VC = MMC size - geometric tolerance = 9.90.",feature = đặc tính hình học; MMC = điều kiện vật liệu lớn nhất
132,D. GD&T,Position,Intermediate,Position Ø0.20 ở RFS cho một lỗ có ý nghĩa cơ bản nào?,Axis của lỗ phải nằm trong vùng trụ Ø0.20 quanh vị trí lý thuyết,Đường kính lỗ phải 0.20,Độ phẳng 0.20,Độ nhám 0.20,A,Position tolerance tạo vùng trụ quanh true position.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
133,D. GD&T,Position,Intermediate,True position là gì?,Vị trí lý thuyết chính xác của feature,Vị trí đo được,Dung sai,Datum feature,A,True position là vị trí lý thuyết được xác định bởi basic dimensions.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
134,D. GD&T,Position,Intermediate,Tại sao position thường tốt hơn ±X/±Y để kiểm soát lỗ?,Kiểm soát vị trí hình học theo vùng trụ và quan hệ với datum,Kiểm soát vị trí tương đối của feature,Không cần datum,Không cần kích thước,A,Position thể hiện vùng dung sai vị trí phù hợp chức năng hơn.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
135,D. GD&T,Position,Intermediate,"Khi hai trục lỗ cần đồng thời nằm đúng vị trí tương đối, datum system giúp gì?",Thiết lập hệ tham chiếu nhất quán,Tăng độ nhám,Đổi vật liệu,Tăng tốc CNC,A,Datum system tạo cơ sở chung cho đánh giá.,datum = chuẩn
136,D. GD&T,Orientation,Intermediate,Perpendicularity của axis lỗ thường kiểm soát gì?,Độ nghiêng của axis lỗ so với datum,Đường kính lỗ,Độ sâu lỗ,Độ nhám,A,Nó kiểm soát orientation của axis.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
137,D. GD&T,Orientation,Intermediate,Parallelism của một bề mặt có datum A kiểm soát gì?,Bề mặt nằm trong vùng song song với datum A,Vị trí tuyệt đối của lỗ,Đường kính,Độ cứng,A,Parallelism kiểm soát orientation so với datum.,datum = chuẩn
138,D. GD&T,Form,Intermediate,Một mặt phẳng có flatness 0.05 cần datum không?,Không,Có A bắt buộc,Có B bắt buộc,Có C bắt buộc,A,Flatness không tham chiếu datum.,datum = chuẩn
139,D. GD&T,Form,Intermediate,Cylindricity khác circularity ở điểm nào?,"Cylindricity kiểm soát toàn bộ bề mặt trụ, circularity từng tiết diện",Hai cái giống hệt,Circularity cần 3 datum,Cylindricity chỉ kiểm tra đường kính,A,Cylindricity là kiểm soát 3D của bề mặt trụ.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
140,D. GD&T,Form,Intermediate,Form controls thường gồm nhóm nào?,"Straightness, flatness, circularity, cylindricity","Position, datum, revision, Ra","Parallelism, angle, material","Runout, position, title block",A,Đây là bốn form controls cơ bản.,technical term = thuật ngữ kỹ thuật
141,D. GD&T,Orientation,Intermediate,Orientation controls cơ bản gồm gì?,"Parallelism, perpendicularity, angularity","Position, circularity, flatness","Runout, profile, size","Datum, MMC, LMC",A,Đây là ba orientation controls.,technical term = thuật ngữ kỹ thuật
142,D. GD&T,Location,Intermediate,Location controls truyền thống gồm gì?,"Position, concentricity, symmetry","Flatness, straightness, circularity","Parallelism, perpendicularity","Ra, Rz, hardness",A,Đây là nhóm location controls trong hệ GD&T truyền thống.,GD&T = dung sai hình học
143,D. GD&T,Profile,Intermediate,Profile control có thể áp dụng cho gì?,Line hoặc surface,Chỉ lỗ,Chỉ ren,Chỉ datum,A,Có profile of a line và profile of a surface.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
144,D. GD&T,Runout,Intermediate,Runout thường cần datum axis không?,"Có, theo cách áp dụng thông thường",Kiểm soát vị trí tương đối của feature,Chỉ với flatness,Chỉ với Ra,A,Runout đánh giá khi quay quanh một datum axis.,datum = chuẩn
145,D. GD&T,Feature of size,Intermediate,Feature of size là gì?,"Feature có kích thước liên quan đến đối diện/giới hạn vật liệu như lỗ, trục",Mọi bề mặt phẳng,Revision,Datum symbol,A,Lỗ và trục là ví dụ điển hình.,technical term = thuật ngữ kỹ thuật
146,D. GD&T,Datum feature,Intermediate,Một mặt phẳng được chỉ là datum feature có phải chính nó là datum lý thuyết không?,Không; nó là feature vật lý dùng để thiết lập datum,Kiểm soát vị trí tương đối của feature,Là revision,Là MMC,A,Datum feature là thực thể vật lý; datum là tham chiếu lý thuyết.,datum = chuẩn; feature = đặc tính hình học
147,D. GD&T,Tolerance zone,Intermediate,Tolerance zone là gì?,Vùng không gian mà feature phải nằm trong đó để đáp ứng yêu cầu,Giới hạn vật liệu,Mã revision,Vùng gia công,A,Tolerance zone định nghĩa phạm vi chấp nhận hình học.,tolerance = dung sai kích thước
148,D. GD&T,Position,Intermediate,Nếu position tolerance không có MMC modifier thì mặc định thường là?,RFS,MMC,LMC,Tự động bonus,A,"Nếu tiêu chuẩn áp dụng không chỉ khác, mặc định thường là RFS.",MMC = điều kiện vật liệu lớn nhất
149,D. GD&T,MMC,Intermediate,MMC có lợi ích chức năng gì khi dùng với position của lỗ?,Cho phép bonus tolerance khi lỗ lớn hơn MMC,Kiểm soát vị trí tương đối của feature,Loại bỏ datum,Đổi lỗ thành trục,A,Lỗ rời MMC có thêm position tolerance trong giới hạn chức năng.,MMC = điều kiện vật liệu lớn nhất
150,D. GD&T,Inspection,Intermediate,CMM có thể kiểm tra GD&T không?,"Có, nếu lập trình/thiết lập datum và đánh giá đúng tiêu chuẩn",Kiểm soát vị trí tương đối của feature,Chỉ đo màu,Chỉ đo nhiệt độ,A,CMM là công cụ phổ biến cho kiểm tra hình học.,GD&T = dung sai hình học
151,D. GD&T,Inspection,Intermediate,Functional gauge theo VC thường dùng để kiểm tra gì?,Khả năng lắp/chức năng theo boundary,Độ nhám trực tiếp,Vật liệu,Revision,A,Gauge mô phỏng điều kiện chức năng.,inspection = kiểm tra; calibration = hiệu chuẩn; CMM = máy đo tọa độ
152,D. GD&T,Inspection,Intermediate,"Khi kiểm tra position của lỗ, chỉ đo khoảng cách tâm đến tâm có luôn đủ không?","Không; cần xét datum, true position và yêu cầu GD&T",Kiểm soát vị trí tương đối của feature,Chỉ cần đo Ra,Chỉ cần nhìn,A,Đánh giá phải theo hệ datum và vùng tolerance.,datum = chuẩn
153,D. GD&T,Datum shift,Advanced,Datum feature có MMC modifier có thể cho phép gì?,Datum shift trong điều kiện áp dụng,Bonus cho flatness,Đổi vật liệu,Đổi revision,A,Datum mobility/shift có thể phát sinh theo yêu cầu MMB.,datum = chuẩn; feature = đặc tính hình học; MMC = điều kiện vật liệu lớn nhất
154,D. GD&T,Datum shift,Advanced,Datum shift chủ yếu liên quan đến điều gì?,Khả năng di chuyển của datum feature trong simulator khi có material boundary modifier,Độ nhám,Độ cứng,Tốc độ dao,A,MMB/LMB có thể tạo datum mobility.,datum = chuẩn
155,D. GD&T,Drawing,Intermediate,Feature control frame dùng để thể hiện gì?,Yêu cầu GD&T,Vật liệu,Revision,Tên người thiết kế,A,"FCF chứa geometric characteristic, tolerance và datum references.",datum = chuẩn; feature = đặc tính hình học
156,D. GD&T,FCF,Intermediate,"Trong FCF, ô đầu tiên thường chứa gì?",Ký hiệu characteristic hình học,Datum,Revision,Đơn vị,A,"Ví dụ position, flatness, perpendicularity.",GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
157,D. GD&T,FCF,Intermediate,"Trong FCF, ký hiệu Ø trước giá trị tolerance thường chỉ gì?",Tolerance zone dạng đường kính,Đường kính feature bắt buộc,Độ nhám,Datum,A,Ø áp dụng cho dạng vùng dung sai diametrical.,tolerance = dung sai kích thước
158,D. GD&T,Datum symbol,Intermediate,Tam giác datum trên drawing gắn với gì?,Datum feature được chọn,Revision,Kích thước reference,Ra,A,Datum symbol xác định feature dùng làm datum.,datum = chuẩn; feature = đặc tính hình học
159,D. GD&T,Basic dimensions,Intermediate,Basic dimensions thường dùng cùng với gì để xác định vị trí lý thuyết?,GD&T như position/profile,Ra,Material callout,Revision,A,Basic dimensions và geometric tolerance thường đi cùng nhau.,tolerance = dung sai kích thước
160,D. GD&T,Profile,Intermediate,Profile có thể đồng thời kiểm soát location và orientation không?,"Có, tùy cách áp dụng datum references",Kiểm soát vị trí tương đối của feature,Chỉ kiểm soát Ra,Chỉ kiểm soát vật liệu,A,"Profile có thể kiểm soát hình dạng và, khi tham chiếu datum, cả location/orientation.",datum = chuẩn
161,D. GD&T,Surface profile,Intermediate,"Nếu profile of surface không tham chiếu datum, nó chủ yếu kiểm soát gì?",Form của bề mặt so với biên dạng lý thuyết,Vị trí tuyệt đối theo máy,Độ nhám,Revision,A,"Không có datum, nó không thiết lập orientation/location theo datum.",datum = chuẩn
162,D. GD&T,Concentricity,Intermediate,Concentricity trong GD&T truyền thống có mục đích gì?,Kiểm soát trung tâm median của feature so với datum axis,Kiểm soát toàn bộ bề mặt trụ,Kiểm soát độ phẳng,Kiểm soát Ra,A,Concentricity là location control dựa trên median points.,GD&T = dung sai hình học
163,D. GD&T,Symmetry,Intermediate,Symmetry truyền thống kiểm soát gì?,Median plane/median points đối xứng quanh datum plane/axis,Độ nhám,Đường kính,Độ phẳng tuyệt đối,A,Symmetry là location control theo hệ truyền thống.,technical term = thuật ngữ kỹ thuật
164,D. GD&T,Circular runout,Intermediate,Circular runout có thể kiểm soát đồng thời một số sai lệch nào tại tiết diện?,Radial variation liên quan đến form và orientation của tiết diện khi quay,Kiểm soát vị trí tương đối của feature,Chỉ Ra,Kiểm soát hướng của feature so với datum,A,Runout có thể phản ánh tổng hợp các sai lệch hình học theo cách đánh giá.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
165,D. GD&T,Total runout,Intermediate,Total runout có thể ảnh hưởng đến đặc tính nào của toàn bề mặt?,"Độ thẳng, độ tròn, độ song song/độ đồng trục theo điều kiện liên quan",Kiểm soát vị trí tương đối của feature,Chỉ độ cứng,Chỉ kích thước nominal,A,Total runout là yêu cầu tổng hợp cho bề mặt khi quay.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
166,D. GD&T,Design intent,Advanced,Tại sao nên chọn datum theo chức năng lắp ráp?,Để hệ GD&T phản ánh cách chi tiết thực sự định vị/lắp trong sản phẩm,Để bản vẽ dài hơn,Để tăng dung sai,Để dễ đổi revision,A,Datum nên phản ánh chức năng và quá trình định vị.,datum = chuẩn
167,D. GD&T,DFM,Intermediate,GD&T quá chặt có thể gây vấn đề gì?,Tăng chi phí và độ khó gia công/đo,Kiểm soát vị trí tương đối của feature,Kiểm soát hướng của feature so với datum,Tăng vật liệu,A,Dung sai hình học chặt có thể yêu cầu quy trình và đo kiểm cao.,GD&T = dung sai hình học
168,D. GD&T,Inspection,Intermediate,Một bề mặt flatness 0.02 nhưng không có datum: có thể kiểm tra bằng cách nào?,Đặt trên phương pháp đo phù hợp và đánh giá vùng hai mặt phẳng song song 0.02,So với datum A bắt buộc,Chỉ đo kích thước dài,Đo Ra,A,Flatness được đánh giá độc lập với datum.,datum = chuẩn
169,D. GD&T,GD&T,Intermediate,"Nếu drawing ghi position Ø0.1(M) A|B|C, feature rời MMC thì điều gì có thể tăng?",Dung sai position khả dụng do bonus,Kích thước nominal,Độ nhám,Revision,A,Bonus tolerance tăng khi feature rời MMC.,feature = đặc tính hình học; MMC = điều kiện vật liệu lớn nhất
170,D. GD&T,GD&T,Intermediate,Nếu lỗ nhỏ hơn MMC của nó thì có được bonus tolerance không?,Không; đó là hướng không thể xảy ra đối với lỗ nếu MMC là kích thước nhỏ nhất,Có vô hạn,Có 0.1,Tùy màu,A,Lỗ nhỏ hơn MMC là không đạt kích thước; bonus chỉ có khi rời MMC theo hướng hợp lệ.,MMC = điều kiện vật liệu lớn nhất
171,E. Vật liệu cơ khí,Aluminum,Intermediate,A6061 thường được dùng vì đặc tính nào?,Độ bền/khả năng gia công tốt và ứng dụng kết cấu phổ biến,Thành phần hợp kim,Là inox,Là nhựa,A,"6061 là hợp kim nhôm phổ biến, cân bằng cơ tính và khả năng gia công.",material = vật liệu; alloy = hợp kim; corrosion resistance = khả năng chống ăn mòn
172,E. Vật liệu cơ khí,Aluminum,Intermediate,A5052 nổi bật ở điểm nào?,Khả năng chống ăn mòn và tạo hình tốt,Thành phần hợp kim,Là titanium,Không thể anodize,A,"5052 là hợp kim Al-Mg, có chống ăn mòn và khả năng tạo hình tốt.",material = vật liệu; alloy = hợp kim; corrosion resistance = khả năng chống ăn mòn
173,E. Vật liệu cơ khí,Steel,Intermediate,SUS304 thuộc loại gì?,Austenitic stainless steel,Aluminum,Tool steel,Copper,A,SUS304 là inox austenitic.,material = vật liệu; alloy = hợp kim; corrosion resistance = khả năng chống ăn mòn
174,E. Vật liệu cơ khí,Steel,Intermediate,SUS316 thường được chọn khi cần cải thiện khả năng chống ăn mòn so với 304 nhờ thành phần nào?,Mo,Pb,Zn,Mg,A,316 chứa molybdenum giúp cải thiện chống ăn mòn cục bộ.,material = vật liệu; alloy = hợp kim; property = tính chất
175,E. Vật liệu cơ khí,Hardness,Intermediate,Độ cứng biểu thị gì?,Khả năng chống biến dạng/xâm nhập cục bộ,Khối lượng riêng,Màu sắc,Độ nhám,A,Hardness phản ánh khả năng chống biến dạng cục bộ.,material = vật liệu; alloy = hợp kim; property = tính chất
176,E. Vật liệu cơ khí,Tensile,Intermediate,Tensile strength là gì?,Độ bền kéo,Độ dẫn điện,Độ nhám,Độ phẳng,A,Tensile strength là ứng suất kéo cực đại theo định nghĩa phép thử.,material = vật liệu; alloy = hợp kim; property = tính chất
177,E. Vật liệu cơ khí,Yield,Intermediate,Yield strength liên quan đến gì?,Giới hạn chảy,Màu,Độ nhám,Đường kính,A,Yield strength liên quan đến bắt đầu biến dạng dẻo đáng kể.,material = vật liệu; alloy = hợp kim; property = tính chất
178,E. Vật liệu cơ khí,Elastic,Intermediate,Elastic deformation là gì?,Biến dạng có thể hồi phục khi bỏ tải trong giới hạn đàn hồi,Biến dạng vĩnh viễn,Nứt,Ăn mòn,A,Biến dạng đàn hồi hồi phục khi tải được bỏ.,material = vật liệu; alloy = hợp kim; property = tính chất
179,E. Vật liệu cơ khí,Thermal,Intermediate,Hệ số giãn nở nhiệt dùng để mô tả gì?,Mức thay đổi kích thước theo nhiệt độ,Độ cứng,Độ nhám,Độ bền ren,A,CTE mô tả biến thiên kích thước theo nhiệt độ.,material = vật liệu; alloy = hợp kim; property = tính chất
180,E. Vật liệu cơ khí,Anodize,Intermediate,Anodize nhôm có thể làm gì?,Tạo lớp oxide bảo vệ và có thể tăng khả năng chống mài mòn tùy quy trình,Thành phần hợp kim,Xóa dung sai,Tạo ren,A,Anodizing là xử lý điện hóa bề mặt nhôm.,anodizing = anod hóa
181,E. Vật liệu cơ khí,Passivation,Intermediate,Passivation inox nhằm mục đích chính nào?,Tạo/khôi phục lớp thụ động chống ăn mòn,Tăng đường kính,Tạo ren,Giảm khối lượng,A,Passivation tăng khả năng chống ăn mòn của inox.,passivation = thụ động hóa
182,E. Vật liệu cơ khí,Plating,Intermediate,Mạ bề mặt có thể ảnh hưởng kích thước không?,Có,Thành phần hợp kim,Chỉ ảnh hưởng màu,Chỉ ảnh hưởng tên file,A,Lớp mạ có chiều dày nên có thể ảnh hưởng kích thước.,material = vật liệu; alloy = hợp kim; property = tính chất
183,E. Vật liệu cơ khí,Heat treatment,Intermediate,Nhiệt luyện có thể làm thay đổi kích thước chi tiết không?,"Có, do biến đổi tổ chức và ứng suất",Thành phần hợp kim,Chỉ đổi màu,Chỉ đổi tên,A,Nhiệt luyện có thể gây biến dạng/kích thước thay đổi.,material = vật liệu; alloy = hợp kim; property = tính chất
184,E. Vật liệu cơ khí,Material cert,Intermediate,Mục đích của material certificate là gì?,Xác nhận thông tin vật liệu/lô theo yêu cầu,Xác định CNC program,Xác định datum,Đo Ra,A,Material cert hỗ trợ traceability và xác nhận vật liệu.,material = vật liệu
185,E. Vật liệu cơ khí,Corrosion,Intermediate,Galvanic corrosion liên quan đến gì?,Tương tác điện hóa giữa các vật liệu khác nhau trong môi trường điện ly,Thành phần hợp kim,Độ cứng,Khả năng gia công,A,Tiếp xúc vật liệu khác nhau có thể tạo pin điện hóa.,corrosion = ăn mòn
