no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
299,Inspection,Tình huống thực tế,Advanced,"Nếu một mặt có flatness 0.05, đo bằng CMM nhưng chương trình đánh giá sai datum A, kết quả có đáng tin không?",Không; flatness bản thân không cần datum nhưng setup/đánh giá phải đúng yêu cầu,Có,Hiệu chuẩn dụng cụ đo,Chỉ cần kích thước,A,"Flatness không dùng datum, nên nếu chương trình gắn datum sai thì phải xem lại; nhưng bản thân flatness vẫn là form control.",measurement = đo lường; calibration = hiệu chuẩn; uncertainty = độ không đảm bảo đo
300,Tolerance,Tình huống thực tế,Advanced,Một kích thước 40±0.1 được đo 40.100 đúng giới hạn trên. Kết luận theo dung sai kích thước thông thường?,OK,NG,Chưa đủ vì bằng limit,Kích thước danh nghĩa,A,Giá trị đúng upper limit thường vẫn nằm trong vùng chấp nhận.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
301,GD&T,Fundamentals,Intermediate,"Trong GD&T, feature nghĩa gần nhất là gì?",Đặc tính/đối tượng hình học,Vật liệu,Máy CNC,Người kiểm tra,A,Feature là đối tượng hình học được kiểm soát hoặc tham chiếu.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
302,GD&T,Fundamentals,Intermediate,"Trong tình huống kỹ thuật này, Tolerance zone là gì?",Vùng không gian mà feature phải nằm trong đó,Vùng vật liệu,Vùng gia công,Vùng an toàn,A,Tolerance zone là vùng giới hạn cho phép của yêu cầu hình học.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
303,GD&T,Form,Intermediate,Flatness 0.08 tạo vùng dung sai như thế nào?,Hai mặt phẳng song song cách nhau 0.08,Hai mặt phẳng vuông góc,Một hình cầu,Một trụ,A,Flatness tạo vùng gồm hai mặt phẳng song song.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
304,GD&T,Form,Intermediate,Circularity kiểm soát điều gì?,Biên dạng tròn của từng tiết diện,Vị trí tâm so với datum,Độ song song,Độ nhám,A,Circularity kiểm soát hình dạng từng tiết diện tròn.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
305,GD&T,Form,Advanced,"Trong tình huống kỹ thuật này, Cylindricity khác circularity ở điểm nào?",Cylindricity kiểm soát toàn bộ bề mặt trụ,Cylindricity chỉ kiểm tra một tiết diện,Circularity luôn cần datum,Hai khái niệm giống nhau,A,Cylindricity kiểm soát toàn bộ bề mặt trụ.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
306,GD&T,Form,Intermediate,Straightness của line element kiểm soát gì?,Độ thẳng của phần tử đường,Độ vuông góc với datum,Đường kính,Độ nhám,A,Straightness kiểm soát độ thẳng theo cách áp dụng.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
307,GD&T,Orientation,Intermediate,Perpendicularity của surface kiểm soát gì?,Orientation của surface so với datum,Độ nhám,Đường kính,Màu,A,Perpendicularity kiểm soát quan hệ vuông góc với datum.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
308,GD&T,Orientation,Intermediate,Parallelism của surface với datum A yêu cầu gì?,Bề mặt nằm trong vùng song song với datum A,Đường kính phải đúng,Không cần datum,Độ cứng,A,Parallelism kiểm soát orientation so với datum.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
309,GD&T,Orientation,Intermediate,Angularity dùng để kiểm soát gì?,Orientation theo một góc cơ bản xác định,Đường kính,Độ nhám,Khối lượng,A,Angularity kiểm soát orientation theo góc lý thuyết.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
310,GD&T,Location,Intermediate,Position của lỗ chủ yếu kiểm soát gì?,Vị trí và hướng của axis/feature,Độ nhám,Độ cứng,Màu,A,Position là control chính cho location của feature of size.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
311,GD&T,Location,Advanced,Position Ø0.20(M) của hole: hole lớn hơn MMC thì điều gì có thể xảy ra?,Có bonus tolerance,Dung sai giảm,Datum mất,Kích thước danh nghĩa đổi,A,Hole rời MMC có thể nhận bonus tolerance.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
312,GD&T,Location,Advanced,"Trong tình huống kỹ thuật này, RFS nghĩa là gì?",Regardless of Feature Size,Reference Feature Standard,Radial Form System,Required Feature Size,A,RFS không tạo bonus tolerance do thay đổi kích thước feature.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
313,GD&T,Limits,Advanced,MMC của shaft Ø9.90–10.00 là?,10.00,9.90,9.95,0,A,Shaft lớn nhất chứa nhiều vật liệu nhất.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
314,GD&T,Limits,Advanced,LMC của hole Ø10.00–10.10 là?,10.10,10.00,10.05,0,A,Hole lớn nhất chứa ít vật liệu nhất.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
315,GD&T,Datums,Intermediate,"Trong tình huống kỹ thuật này, Datum feature là gì?",Feature thực tế được chọn làm cơ sở thiết lập datum,Kích thước bất kỳ,Vật liệu,Tên máy đo,A,Datum feature là feature thực tế dùng để thiết lập datum.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
316,GD&T,Datums,Advanced,Vì sao datum A-B-C quan trọng?,Thiết lập hệ tham chiếu và bậc tự do nhất quán,Đổi vật liệu,Đổi màu,Tăng tốc CNC,A,Datum reference frame xác lập cơ sở đánh giá hình học.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
317,GD&T,Profile,Intermediate,"Trong tình huống kỹ thuật này, Profile of a surface kiểm soát gì?",Biên dạng của toàn bộ bề mặt,Chỉ độ phẳng,Chỉ đường kính,Chỉ vị trí tâm,A,Profile kiểm soát biên dạng theo vùng dung sai.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
318,GD&T,Runout,Intermediate,Circular runout kiểm tra gì?,Biến thiên chỉ thị tại từng tiết diện khi quay,Độ phẳng toàn mặt,Độ cứng,Màu,A,Circular runout đánh giá biến thiên tại circular element khi quay.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
319,GD&T,Runout,Advanced,Total runout khác circular runout thế nào?,Kiểm soát toàn bộ bề mặt trong suốt phép quay,Chỉ một tiết diện,Chỉ kích thước,Kiểm soát vị trí tương đối của feature,A,Total runout kiểm soát toàn bộ surface khi quay.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
320,GD&T,Drawing,Intermediate,Feature Control Frame dùng để làm gì?,Thể hiện yêu cầu GD&T,Thể hiện vật liệu,Đặt tên file,Tạo toolpath,A,"FCF chứa symbol, tolerance, modifier và datum reference.",datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
321,GD&T,Drawing,Advanced,Basic dimension thường được thể hiện bằng gì?,Khung chữ nhật,Hình tròn,Tam giác,Gạch chéo,A,Basic dimension thường được đặt trong rectangular frame.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
322,GD&T,Inspection,Advanced,Functional gage dùng để làm gì?,Mô phỏng điều kiện lắp/hoạt động để đánh giá pass/fail,Kiểm soát vị trí tương đối của feature,Đo độ cứng,Kiểm soát hướng của feature so với datum,A,Functional gage đánh giá chức năng theo điều kiện thiết kế.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
323,Tolerance,Fundamentals,Intermediate,20.00 ±0.05 có upper limit là?,20.05,19.95,20.00,0.05,A,Upper limit = 20.00 + 0.05.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
324,Tolerance,Fundamentals,Intermediate,20.00 ±0.05 có lower limit là?,19.95,20.05,20.00,0.10,A,Lower limit = 20.00 − 0.05.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
325,Tolerance,Fundamentals,Intermediate,20.00 +0.03/-0.01 có total tolerance là?,0.04,0.02,0.03,0.01,A,0.03 − (−0.01) = 0.04.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
326,Tolerance,Fits,Intermediate,Clearance fit là gì?,Luôn có khe hở,Kích thước danh nghĩa,Có thể cả hai,Không có tolerance,A,Clearance fit tạo clearance dương theo giới hạn thiết kế.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
327,Tolerance,Fits,Intermediate,Interference fit là gì?,Luôn có độ dôi,Kích thước danh nghĩa,Không có tolerance,Chỉ cho ren,A,Interference fit tạo độ dôi giữa mating features.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
328,Tolerance,Fits,Intermediate,Transition fit có thể cho kết quả nào?,Clearance hoặc interference tùy kích thước thực,Chỉ clearance,Chỉ interference,Không có giới hạn,A,Transition fit nằm giữa hai loại fit trên.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
329,Tolerance,Fits,Intermediate,Minimum clearance được tính thế nào?,Hole min − shaft max,Hole max − shaft min,Shaft max − hole min,Nominal − nominal,A,Đây là trường hợp xấu nhất để khe hở nhỏ nhất.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
330,Tolerance,Fits,Intermediate,Maximum clearance được tính thế nào?,Hole max − shaft min,Hole min − shaft max,Shaft max − hole max,Nominal − nominal,A,Hole lớn nhất kết hợp shaft nhỏ nhất cho clearance lớn nhất.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
331,Tolerance,Limits,Intermediate,MMC của hole thường là giới hạn nào?,Đường kính nhỏ nhất,Đường kính lớn nhất,Trung bình,Nominal,A,Hole nhỏ nhất chứa nhiều vật liệu nhất.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
332,Tolerance,Limits,Intermediate,LMC của shaft thường là giới hạn nào?,Đường kính nhỏ nhất,Đường kính lớn nhất,Trung bình,Nominal,A,Shaft nhỏ nhất chứa ít vật liệu nhất.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
333,MBD,Fundamentals,Intermediate,"Trong tình huống kỹ thuật này, MBD là viết tắt của gì?",Model-Based Definition,Mechanical Basic Drawing,Material Based Data,Model Backup Document,A,MBD là phương pháp dùng model 3D làm nguồn định nghĩa sản phẩm cùng PMI.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
334,MBD,PMI,Intermediate,PMI là gì?,Product Manufacturing Information,Part Model Index,Production Material Input,Process Measurement Item,A,"PMI chứa dimensions, tolerances, GD&T, notes và thông tin sản xuất phù hợp.",3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
335,MBD,STEP,Intermediate,STEP trong CAD chủ yếu dùng để làm gì?,Trao đổi dữ liệu CAD,Chụp màn hình,Đo CMM,Lập bảng Excel,A,STEP là chuẩn trao đổi dữ liệu CAD.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
336,MBD,Master Data,Advanced,Customer master data nên được quản lý thế nào?,"Bảo vệ, kiểm soát truy cập và truy xuất revision",Tự do sửa,Ghi đè,Xóa sau khi tạo derivative,A,Master data là nguồn gốc cần được bảo vệ.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
337,MBD,Derivative,Advanced,"Trong tình huống kỹ thuật này, Derivative data là gì?",Dữ liệu nội bộ tạo/chuyển đổi từ master data,Dữ liệu không liên quan,Bản nháp không kiểm soát,File đã xóa,A,Derivative data là dữ liệu phái sinh được tạo có kiểm soát.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
338,MBD,Traceability,Advanced,Traceability tốt nên truy ngược theo chuỗi nào?,Derivative → Master → Customer PN → Customer Revision,Derivative → tên người tạo,File → màu,CNC → dao,A,Chuỗi này giúp chứng minh nguồn gốc và revision.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
339,MBD,Revision,Advanced,"Khi customer revision thay đổi, nên làm gì trước?","Xác nhận, cập nhật và đánh giá tác động theo quy trình",PMI và datum,Xóa bản cũ,Bỏ qua,A,Revision change phải được kiểm soát và đánh giá impact.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
340,MBD,Conversion,Advanced,Đổi inch sang mm trong derivative cần kiểm soát gì?,"Conversion, rounding, verification và traceability",Chỉ đổi title,Không cần review,PMI và datum,A,Chuyển đổi đơn vị có thể gây sai số và cần kiểm tra.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
341,MBD,Authority,Advanced,Authority data set nghĩa gần nhất là gì?,Bộ dữ liệu được chỉ định là nguồn có thẩm quyền,File tạm,Ảnh minh họa,Bản nháp,A,Authority data là nguồn chính thức được chỉ định cho yêu cầu.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
342,MBD,3D PDF,Intermediate,3D PDF trong workflow có thể dùng để làm gì?,Xem model và PMI trong tài liệu,Tự động tạo CNC,Tự động đo CMM,Thay QMS,A,3D PDF phù hợp để viewing/documentation theo workflow.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
343,CNC,Fundamentals,Intermediate,CNC là viết tắt của gì?,Computer Numerical Control,Computer Network Control,Central Number Calculation,Control New Cutting,A,CNC là điều khiển số bằng máy tính.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
344,CNC,Cutting,Intermediate,"Trong tình huống kỹ thuật này, Feed rate là gì?",Tốc độ tiến dao,Tốc độ trục chính,Độ nhám,Độ cứng,A,Feed rate là tốc độ tiến dao.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
345,CNC,Cutting,Intermediate,Spindle speed là gì?,Tốc độ quay trục chính,Tốc độ tiến dao,Độ phẳng,Dung sai,A,Spindle speed thường tính bằng rpm.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
346,CNC,Tooling,Intermediate,Tool offset dùng để làm gì?,Bù sai lệch hình học/chiều dài/bán kính dao,Đổi vật liệu,Đổi revision,Đo độ nhám,A,Tool offset bù vị trí hoặc geometry của tool.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
347,Inspection,Measurement,Intermediate,"Trong tình huống kỹ thuật này, CMM là viết tắt của gì?",Coordinate Measuring Machine,Computer Milling Machine,Central Measurement Model,Control Material Method,A,CMM là máy đo tọa độ.,measurement = đo lường; calibration = hiệu chuẩn; uncertainty = độ không đảm bảo đo
348,Inspection,Measurement,Intermediate,Gauge R&R đánh giá gì?,Repeatability và reproducibility của hệ thống đo,Độ cứng,Độ nhám,Tool life,A,Gauge R&R đánh giá variation của hệ thống đo.,measurement = đo lường; calibration = hiệu chuẩn; uncertainty = độ không đảm bảo đo
349,Drawing,Control,Intermediate,Revision history dùng để làm gì?,Theo dõi thay đổi của tài liệu,Đo đường kính,Tạo toolpath,Đổi vật liệu,A,Revision history giúp truy xuất thay đổi theo phiên bản.,section view = hình cắt; detail view = hình trích; scale = tỷ lệ
350,Drawing,Views,Intermediate,Section view dùng để làm gì?,Hiển thị cấu trúc bên trong bằng mặt cắt,Revision và trạng thái phát hành,Tạo CNC,Kích thước và dung sai,A,Section view giúp nhìn các đặc điểm bên trong bị che khuất.,section view = hình cắt; detail view = hình trích; scale = tỷ lệ
351,Drawing,Views,Intermediate,Detail view dùng để làm gì?,Phóng to vùng nhỏ để thể hiện chi tiết,Đổi revision,Đo vật liệu,Xóa datum,A,Detail view làm rõ một khu vực nhỏ của drawing.,section view = hình cắt; detail view = hình trích; scale = tỷ lệ
352,Material,Aluminum,Intermediate,A5052P thuộc nhóm nào?,Hợp kim nhôm,Thép carbon,Titanium,Nhựa,A,A5052P là hợp kim nhôm dạng tấm theo ký hiệu vật liệu.,alloy = hợp kim; hardness = độ cứng; tensile strength = độ bền kéo
353,Material,Stainless,Intermediate,SUS304 là gì?,Thép không gỉ austenitic,Nhôm,Đồng,Nhựa,A,SUS304 là stainless steel phổ biến.,alloy = hợp kim; hardness = độ cứng; tensile strength = độ bền kéo
354,Surface,Roughness,Intermediate,Ra là tham số gì?,Độ nhám bề mặt,Độ cứng,Đường kính,Position,A,Ra là tham số phổ biến mô tả surface roughness.,surface treatment = xử lý bề mặt; coating = lớp phủ; roughness = độ nhám
355,Surface,Treatment,Intermediate,Anodizing nhôm chủ yếu tạo gì?,Lớp oxide trên bề mặt,Lớp thép,Lớp ren,Lớp nhựa,A,Anodizing tạo lớp oxide bảo vệ/bề mặt theo quy trình.,surface treatment = xử lý bề mặt; coating = lớp phủ; roughness = độ nhám
356,Surface,Treatment,Intermediate,Passivation thường áp dụng cho vật liệu nào?,Thép không gỉ,Chỉ nhôm,Chỉ nhựa,Độ nhám bề mặt,A,Passivation thường dùng cho stainless steel để cải thiện khả năng chống ăn mòn.,surface treatment = xử lý bề mặt; coating = lớp phủ; roughness = độ nhám
357,Process,Machining,Intermediate,Deburring là gì?,Loại bỏ ba via,Tăng độ nhám,Tạo ren,Đổi vật liệu,A,Deburring là công đoạn loại bỏ burr sau gia công.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
358,Process,Heat Treatment,Intermediate,Heat treatment là gì?,Xử lý nhiệt để thay đổi tính chất vật liệu,Sơn,Đo kích thước,Tốc độ cắt và lượng chạy dao,A,Heat treatment dùng chu trình nhiệt để thay đổi cơ tính/cấu trúc.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
359,Process,Machining,Intermediate,Milling là gì?,Gia công phay,Gia công tiện,Đo CMM,Xử lý nhiệt,A,Milling dùng dao phay quay để cắt vật liệu.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
360,Process,Machining,Intermediate,Turning là gì?,Gia công tiện,Gia công phay,Đo độ nhám,Anodizing,A,Turning thường quay phôi và dùng dao tiện.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
361,Process,Machining,Intermediate,Drilling là gì?,Khoan lỗ,Phay mặt,Đo profile,Đánh bóng,A,Drilling là quá trình tạo lỗ bằng mũi khoan.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
362,GD&T,Scenario,Advanced,"Hole Ø10.00–10.10, position Ø0.05(M), actual Ø10.08. Bonus tolerance?",0.00,0.08,0.05,0.13,B,Bonus = 10.08 − 10.00 = 0.08.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
363,GD&T,Scenario,Advanced,"Cùng hole trên, total position tolerance khả dụng?",0.05,0.08,0.13,0.03,C,Total = 0.05 + 0.08 = 0.13.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
364,GD&T,Scenario,Advanced,"Hole Ø10.00–10.20, position Ø0.10(M), actual Ø10.15. Bonus?",0.05,0.10,0.15,0.20,C,Bonus = 10.15 − 10.00 = 0.15.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
365,Tolerance,Scenario,Intermediate,"Hole min 10.02, shaft max 9.98. Minimum clearance?",0.02,0.04,0.06,0.00,B,10.02 − 9.98 = 0.04.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
366,Tolerance,Scenario,Intermediate,"Hole max 10.08, shaft min 9.96. Maximum clearance?",0.08,0.12,0.14,0.04,B,10.08 − 9.96 = 0.12.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
367,Tolerance,Scenario,Intermediate,Kích thước 25.00 +0.04/-0.02. Lower limit?,24.98,25.02,25.00,0.06,A,25.00 − 0.02 = 24.98.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
368,Tolerance,Scenario,Intermediate,Kích thước 25.00 +0.04/-0.02. Total tolerance?,0.02,0.04,0.06,0.08,C,0.04 − (−0.02) = 0.06.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
369,GD&T,Scenario,Advanced,Position Ø0.20(RFS): feature size thay đổi thì tolerance hình học thế nào?,Tăng tự động,Giảm tự động,Không đổi,Về 0,C,RFS không tạo bonus tolerance theo size.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
370,GD&T,Scenario,Intermediate,Flatness 0.10: toàn bộ surface nằm giữa hai mặt phẳng song song cách 0.10. Kết luận?,Đạt yêu cầu flatness,Chắc chắn fail,Cần datum A,Chỉ đạt nếu Ra <0.10,A,Đây là vùng dung sai flatness.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
371,MBD,Scenario,Advanced,Customer cung cấp 3D PDF + STEP. STEP và 3D PDF nên được quản lý thế nào?,Theo authority/master và revision; derivative tách riêng,Gộp thành một file,Xóa STEP,Sửa trực tiếp master,A,"Cần duy trì nguồn gốc, revision và phân biệt master/derivative.",3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
372,MBD,Scenario,Advanced,Customer MBD thiếu section cần cho inspection. Nên làm gì?,Xác nhận yêu cầu hoặc tạo derivative view có kiểm soát,PMI và datum,Tự đoán,Bỏ qua,A,Không tự suy diễn authority customer.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
373,MBD,Scenario,Advanced,Derivative model đổi inch sang mm. Điều nào quan trọng nhất?,Conversion + verification + traceability,Chỉ đổi tên file,PMI và datum,Không cần review,A,Chuyển đổi phải được kiểm soát và xác minh.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
374,Inspection,Scenario,Intermediate,CMM đo position nhưng datum A-B-C chưa được thiết lập đúng. Kết quả có đáng tin không?,"Không, phải thiết lập datum reference đúng","Có, luôn đúng",Chỉ phụ thuộc CMM,Chỉ phụ thuộc operator,A,Datum reference frame là cơ sở của phép đánh giá GD&T.,measurement = đo lường; calibration = hiệu chuẩn; uncertainty = độ không đảm bảo đo
375,CNC,Scenario,Intermediate,Drawing yêu cầu Ø10 H7 nhưng process tạo lỗ bằng reamer. Việc cần kiểm soát là gì?,Tool/process capability và kết quả kích thước,Tốc độ cắt và lượng chạy dao,Chỉ tên máy,Không cần đo,A,Process phải có khả năng đáp ứng size tolerance và cần kiểm tra.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
376,Drawing,Scenario,Intermediate,Drawing revision tăng từ Rev.02 lên Rev.03. Cần làm gì với bản Rev.02?,"Kiểm soát status/OLD theo quy trình, không ghi đè",Xóa ngay,Dùng song song không kiểm soát,Đổi tên thành Rev.03,A,Revision cũ cần được kiểm soát để tránh dùng nhầm.,section view = hình cắt; detail view = hình trích; scale = tỷ lệ
377,Surface,Scenario,Intermediate,Hai lot anodizing có màu khác nhau. Điều tra nên xem gì?,"Material, surface condition và process parameters",Độ nhám bề mặt,Chỉ CMM,Lớp phủ bề mặt,A,"Màu anodizing chịu ảnh hưởng bởi vật liệu, bề mặt và điều kiện xử lý.",surface treatment = xử lý bề mặt; coating = lớp phủ; roughness = độ nhám
378,GD&T,Scenario,Advanced,"Datum A là mặt gá chính, B định hướng bên, C khóa vị trí cuối. Điều này thể hiện gì?",Datum được chọn theo chức năng định vị,Chọn ngẫu nhiên,Chỉ phục vụ vẽ đẹp,Chỉ phục vụ kiểm tra màu,A,Datum system nên phản ánh functional locating scheme.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
379,GD&T,Scenario,Advanced,Một surface có parallelism 0.05 | A. Datum nào là tham chiếu?,A,B,C,Không có,A,FCF tham chiếu datum A.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
380,GD&T,Scenario,Advanced,Một surface có flatness 0.05. Datum A có bắt buộc không?,Không,Có,Chỉ khi CMM,Chỉ khi nhôm,A,Flatness là form control và không cần datum.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
381,MBD,Scenario,Advanced,Nếu master customer bị sửa trực tiếp để thuận tiện gia công thì rủi ro chính là gì?,Mất authority và traceability,Tăng tốc CNC,Giảm dung lượng,Tăng độ chính xác,A,Master data không nên bị thay đổi trái phép.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
382,GD&T,Scenario,Intermediate,"Khi một FCF tham chiếu datum A, A đóng vai trò gì?",Chuẩn tham chiếu,Kích thước danh nghĩa,Vật liệu,Tên revision,A,Datum A là chuẩn tham chiếu cho phép đánh giá hình học.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
383,GD&T,Scenario,Intermediate,Một control thuộc nhóm form có cần datum reference không?,Thông thường không,Kiểm soát vị trí tương đối của feature,Kiểm soát hướng của feature so với datum,Kiểm soát hình dạng của feature,A,"Form controls như flatness, circularity và cylindricity không cần datum reference.",datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
384,GD&T,Scenario,Intermediate,Position khác size tolerance ở điểm nào?,Position kiểm soát quan hệ hình học/vị trí,Position chỉ kiểm soát đường kính,Size tolerance chỉ kiểm soát datum,Hai loại giống nhau,A,Size tolerance kiểm soát kích thước; position kiểm soát location/orientation theo yêu cầu.,datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
385,GD&T,Scenario,Intermediate,"Nếu drawing ghi surface profile nhưng không có datum, điều cần xem là gì?",Yêu cầu profile và tiêu chuẩn áp dụng,Tự chọn datum,Bỏ qua profile,Đổi sang flatness,A,"Cần đọc đúng yêu cầu profile và tiêu chuẩn áp dụng, không tự thêm datum.",datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
386,GD&T,Scenario,Advanced,MMC modifier trên datum feature có thể liên quan đến hiện tượng nào?,Datum shift,Đổi vật liệu,Đổi revision,Đổi màu,A,"Trong điều kiện áp dụng, M trên datum feature có thể cho phép datum shift.",datum = chuẩn; feature control frame = khung dung sai; tolerance zone = vùng dung sai
387,Tolerance,Scenario,Intermediate,Kích thước 50.00 ±0.10 có total tolerance là?,0.20,0.10,50.10,49.90,A,0.10 + 0.10 = 0.20.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
388,Tolerance,Scenario,Intermediate,Hole 20.00–20.05 và shaft 19.95–19.98. Minimum clearance?,0.02,0.05,0.07,0.00,A,20.00 − 19.98 = 0.02.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
389,Tolerance,Scenario,Intermediate,Hole 20.00–20.05 và shaft 19.95–19.98. Maximum clearance?,0.07,0.05,0.02,0.10,D,20.05 − 19.95 = 0.10.,nominal size = kích thước danh nghĩa; limit = giới hạn; fit = lắp ghép
390,MBD,Scenario,Advanced,"Khi derivative được tạo từ master, có nên ghi lại nguồn master không?",Có,Không,Chỉ khi khách hỏi,Chỉ với CNC,A,Traceability yêu cầu liên kết derivative với nguồn master.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
391,MBD,Scenario,Intermediate,PMI viết tắt của cụm từ nào?,Product Manufacturing Information,Part Measurement Index,Process Model Input,Production Material Index,A,PMI = Product Manufacturing Information.,3D model = mô hình 3D; PMI = thông tin sản xuất sản phẩm; revision = phiên bản
392,CNC,Scenario,Intermediate,Tool life nghĩa là gì?,Tuổi thọ dao,Tốc độ dao,Chiều dài phôi,Độ nhám,A,Tool life là thời gian/khả năng sử dụng hữu ích của dao trước khi thay hoặc phục hồi.,cutting speed = tốc độ cắt; feed rate = lượng chạy dao; workholding = gá đặt
